Property Name,Portfolio Manager ID,Year Built,Property Type - Self-Selected,perecent,Gross Floor Area
Ely Allen Brewster House,6151483,1855,Residence Hall/Dormitory,0.0322765957446809,54144
Armstrong Hall,6151485,1961,College/University,0.0212765957446808,71647
Art & IMM,6151490,2010,College/University,0.0202765957446809,70580
ASB,6151492,1968,College/University,0.0112765957446809,32339
Biology Building,6151495,2001,College/University,0.0202765957446809,77893
Bliss Hall,6151517,1935,College/University,0.0222765957446809,35915
Brower Student Center,6151522,2016,College/University,0.0302765957446809,106430
School of Business,6151525,1999,College/University,0.0212765957446809,46000
Centennial Hall,6151527,1954,Residence Hall/Dormitory,0.0312765957446809,49944
Cromwell Hall,6153497,1967,Residence Hall/Dormitory,0.0312765957446809,85847
Decker Hall,6153499,1963,Residence Hall/Dormitory,0.0412765957446809,103816
Education Building,6153500,2012,College/University,0.0202765957446809,79885
Eickhoff Hall,6153504,1992,College/University,0.0412765957446809,147100
Forcina Hall,6153507,1969,College/University,0.0212765957446808,77380
Green Hall,6153508,1931,College/University,0.0222765957446809,71808
Hausdoerffer Hall,6153510,2009,Residence Hall/Dormitory,0.0302765957446809,70000
Kendall Hall,6153512,1932,College/University,0.0222765957446809,83000
Maintenance Building,6153513,1970,College/University,0.0112765957446809,21049
Music Building,6153515,1993,College/University,0.0212765957446808,50200
New Residence Hall,6153516,1986,Residence Hall/Dormitory,0.0312765957446809,57875
Norsworthy Hall,6153518,1936,Residence Hall/Dormitory,0.0322765957446809,43200
Packer Hall,6153520,1932,College/University,0.0322765957446809,124577
Phelps Hall,6153521,2009,Residence Hall/Dormitory,0.0302765957446809,70000
Athletic Recreation Center,6153524,1979,College/University,0.0212765957446809,53861
Roscoe L West 68 Building,6153527,1968,College/University,0.0212765957446808,59140
Science Complex,6153528,2002,College/University,0.0202765957446809,123068
Social Science Building,6153529,2001,College/University,0.0202765957446809,74000
Spiritual Center,6153535,2004,Worship Facility,0.0102765957446809,4450
R. Barbara Gitenstein Library,6153537,2005,College/University,0.0402765957446809,153515
Travers Wolfe Hall,6153559,1971,Residence Hall/Dormitory,0.0512765957446809,280494
Townhouse West/East (Cluster #1),6153562,1995,Residence Hall/Dormitory,0.0412765957446809,133749
Power House/Cogen,6153563,1996,College/University,0.0212765957446808,15720
Trenton Hall,6153565,1997,College/University,0.0212765957446808,33097
Townhouse South (Cluster #2),6153566,1998,Residence Hall/Dormitory,0.0312765957446809,65000
Bliss Annex,6609978,1978,College/University,0.0212765957446808,20667
Roscoe L West 34 Building,6609987,1934,College/University,0.0222765957446809,39416
Lions Stadium Concession,6610009,1990,College/University,0.0012765957446809,2050
Lions Stadium Restrooms,6610010,1990,College/University,0.0012765957446809,1510
Lions Stadium Pressbox,6610012,1990,College/University,0.0012765957446809,2548
Trenton Info Booth,6610015,1999,College/University,0.0012765957446809,56
Soccer Bathrooms,6610017,2000,College/University,0.0002765957446809,912
Soccer Pressbox,6610018,2000,College/University,0.0002765957446809,484
Softball Concession,6610019,2000,College/University,0.0002765957446809,321
Softball Pressbox,6610020,2000,College/University,0.0002765957446809,725
STEM Building/Forum,6610023,2017,College/University,0.0302765957446809,106380
Chemistry Addition,6610024,2018,College/University,0.0202765957446809,29681
Green Lane Storage Facility,6611048,2000,College/University,0.0002765957446809,3996
